user	continent	gender
1	2	0
2	3	0
3	1	1
4	2	0
5	2	1
6	2	0
7	2	1
8	5	0
9	1	0
10	2	0
11	1	0
12	2	0
13	1	0
14	2	0
15	1	0
16	2	1
17	2	1
18	2	0
19	2	0
20	2	1
21	2	1
22	2	1
23	2	0
24	2	1
25	2	0
26	2	0
27	1	0
28	4	0
29	1	0
30	3	0
31	2	1
32	2	1
33	7	0
34	2	1
35	2	0
36	2	1
37	4	0
38	5	1
39	2	0
40	1	1
41	2	0
42	5	0
43	2	1
44	2	1
45	1	1
46	2	0
47	1	1
48	2	1
49	2	0
50	2	0
51	2	1
52	2	1
53	2	1
54	2	0
55	2	0
56	1	1
57	2	0
58	2	1
59	1	0
60	2	0
61	2	0
62	2	1
63	2	0
64	2	0
65	2	1
66	2	1
67	2	1
68	2	1
69	2	1
70	2	1
71	2	0
72	2	0
73	2	1
74	2	0
75	2	1
76	2	1
77	2	1
78	1	0
79	2	1
80	2	1
81	2	0
82	1	1
83	1	1
84	1	1
85	2	0
86	2	0
87	2	0
88	2	1
89	2	1
90	5	1
91	2	1
92	1	1
93	5	1
94	2	0
95	2	0
96	2	0
97	1	1
98	1	0
99	2	1
100	2	0
101	2	1
102	1	0
103	1	0
104	2	0
105	3	0
106	2	0
107	2	1
108	2	1
109	1	0
110	1	0
111	2	1
112	2	1
113	5	0
114	2	0
115	2	1
116	2	0
117	2	1
118	2	0
119	2	1
120	2	0
121	2	0
122	2	0
123	5	1
124	2	0
125	2	1
126	1	0
127	2	1
128	1	1
129	2	0
130	2	1
131	2	1
132	2	1
133	2	1
134	2	0
135	2	0
136	1	1
137	2	1
138	2	1
139	1	0
140	2	1
141	2	1
142	1	1
143	2	1
144	2	0
145	2	0
146	2	1
147	2	1
148	2	0
149	2	1
150	2	0
151	2	1
152	2	0
153	2	0
154	2	0
155	2	0
156	2	0
157	1	1
158	1	0
159	2	0
160	2	0
161	2	0
162	1	1
163	3	0
164	2	0
165	1	0
166	2	1
167	2	0
168	2	1
169	1	0
170	1	1
171	2	1
172	2	0
173	2	0
174	5	0
175	2	0
176	2	1
177	2	0
178	7	0
179	1	0
180	2	0
181	2	1
182	3	0
183	2	0
184	2	0
185	1	0
186	2	1
187	2	0
188	2	0
189	1	1
190	2	0
191	1	1
192	2	1
193	2	0
194	2	0
195	2	0
196	2	0
197	2	1
198	2	1
199	1	0
200	1	1
201	2	0
202	2	1
203	3	0
204	2	0
205	2	1
206	2	1
207	2	0
208	2	1
209	2	0
210	2	1
211	2	1
212	2	1
213	2	1
214	2	0
215	2	1
216	2	0
217	1	1
218	2	0
219	2	0
220	2	1
221	2	1
222	1	1
223	2	0
224	2	0
225	5	1
226	2	0
227	2	0
228	2	1
229	2	0
230	2	0
231	2	1
232	2	0
233	2	1
234	1	1
235	2	0
236	2	0
237	2	0
238	2	1
239	2	1
240	3	1
241	2	0
242	2	0
243	2	1
244	2	1
245	2	0
246	4	1
247	2	1
248	2	0
249	1	1
250	3	0
251	2	0
252	2	0
253	2	1
254	2	0
255	2	0
256	2	1
257	2	1
258	2	1
259	2	1
260	1	1
261	2	0
262	2	1
263	2	0
264	2	1
265	2	0
266	2	1
267	3	0
268	2	1
269	2	0
270	2	1
271	2	1
272	2	1
273	2	1
274	2	1
275	2	0
276	2	1
277	2	1
278	2	0
279	2	1
280	2	0
281	1	1
282	4	0
283	2	1
284	2	0
285	2	0
286	1	1
287	2	1
288	2	1
289	1	1
290	1	1
291	2	1
292	2	1
293	2	0
294	2	0
295	2	1
296	2	1
297	2	1
298	1	0
299	2	0
300	2	1
301	2	1
302	1	1
303	2	1
304	2	0
305	2	1
306	2	0
307	2	0
308	2	0
309	2	1
310	2	1
311	1	1
312	2	0
313	2	0
314	2	0
315	1	1
316	2	1
317	2	1
318	2	1
319	1	1
320	2	0
321	5	1
322	2	1
323	2	0
324	2	0
325	2	1
326	2	1
327	2	0
328	1	0
329	2	0
330	2	0
331	2	1
332	2	1
333	3	1
334	2	0
335	2	0
336	2	0
337	2	1
338	2	1
339	5	0
340	6	1
341	2	1
342	2	0
343	2	0
344	2	1
345	1	0
346	2	0
347	3	0
348	2	0
349	2	1
350	2	0
351	2	0
352	3	1
353	1	0
354	2	0
355	2	1
356	2	0
357	1	1
358	2	0
359	2	0
360	2	0
361	1	1
362	2	1
363	2	1
364	1	0
365	2	0
366	2	1
367	1	1
368	4	1
369	2	0
370	1	1
371	1	1
372	2	1
373	1	0
374	2	0
375	2	0
376	2	0
377	2	1
378	2	0
379	2	1
380	2	1
381	1	0
382	5	1
383	1	0
384	2	1
385	1	1
386	1	1
387	3	1
388	3	1
389	2	1
390	2	0
391	2	1
392	2	0
393	4	0
394	4	1
395	2	1
396	1	0
397	2	0
398	2	0
399	2	0
400	1	0
401	2	1
402	1	1
403	2	1
404	2	0
405	1	0
406	1	0
407	2	0
408	2	1
409	2	1
410	2	0
411	2	1
412	3	1
413	2	1
414	2	0
415	2	0
416	2	0
417	5	1
418	2	0
419	4	0
420	1	0
421	2	0
422	2	0
423	2	0
424	2	1
425	2	1
426	2	1
427	2	1
428	2	0
429	1	0
430	2	0
431	2	1
432	3	1
433	2	0
434	2	1
435	2	1
436	4	1
437	1	1
438	2	1
439	2	1
440	2	0
441	2	1
442	2	0
443	2	1
444	2	1
445	2	0
446	1	0
447	2	0
448	2	1
449	2	1
450	2	1
451	5	1
452	2	0
453	2	1
454	3	1
455	2	1
456	2	0
457	2	0
458	2	0
459	2	1
460	2	1
461	2	1
462	2	0
463	2	1
464	2	0
465	7	1
466	2	1
467	4	0
468	2	1
469	2	0
470	2	0
471	2	0
472	2	1
473	1	1
474	4	1
475	2	1
476	2	1
477	5	1
478	2	1
479	1	0
480	1	1
481	2	1
482	2	1
483	2	1
484	1	0
485	2	1
486	2	1
487	1	1
488	1	0
489	1	1
490	2	1
491	2	0
492	1	1
493	2	0
494	6	0
495	2	0
496	2	1
497	2	0
498	2	1
499	2	0
500	1	1
501	2	1
502	2	1
503	2	1
504	2	0
505	2	0
506	2	1
507	1	0
508	2	1
509	2	1
510	2	1
511	2	1
512	2	1
513	1	1
514	2	0
515	2	1
516	2	0
517	2	1
518	3	1
519	2	1
520	2	0
521	2	1
522	2	1
523	2	0
524	2	1
525	2	1
526	2	1
527	5	0
528	2	0
529	4	0
530	2	1
531	2	0
532	2	1
533	2	1
534	2	1
535	2	1
536	4	1
537	2	1
538	2	0
539	3	0
540	2	0
541	2	1
542	2	0
543	4	1
544	2	1
545	2	0
546	1	1
547	2	0
548	2	0
549	1	1
550	2	0
551	2	1
552	2	0
553	1	0
554	1	1
555	1	0
556	2	1
557	2	1
558	1	1
559	2	1
560	2	1
561	2	1
562	2	0
563	5	1
564	2	1
565	2	1
566	2	1
567	2	0
568	2	1
569	2	1
570	2	0
571	1	0
572	2	1
573	2	1
574	2	1
575	1	1
576	3	1
577	1	1
578	2	1
579	2	1
580	1	0
581	1	0
582	2	0
583	2	1
584	2	0
585	2	0
586	2	0
587	2	1
588	2	1
589	1	1
590	2	1
591	2	0
592	2	0
593	2	0
594	1	1
595	2	0
596	4	1
597	2	0
598	2	1
599	2	1
600	2	0
601	2	1
602	2	0
603	4	1
604	2	0
605	1	0
606	2	0
607	2	0
608	2	1
609	2	1
610	2	1
611	2	1
612	2	1
613	2	1
614	2	0
615	2	0
616	2	1
617	2	0
618	2	0
619	2	1
620	2	1
621	2	0
622	2	1
623	2	1
624	2	1
625	1	0
626	1	1
627	1	0
628	1	1
629	2	0
630	2	0
631	1	1
632	2	1
633	1	0
634	2	1
635	2	0
636	2	0
637	2	1
638	1	1
639	7	1
640	2	0
641	2	0
642	2	1
643	2	0
644	2	1
645	2	0
646	2	0
647	2	1
648	2	0
649	2	0
650	2	1
651	2	0
652	2	0
653	2	0
654	5	1
655	2	1
656	5	0
657	4	0
658	2	0
659	2	1
660	2	1
661	2	1
662	2	1
663	2	1
664	5	1
665	2	1
666	1	0
667	5	1
668	1	0
669	2	0
670	2	1
671	2	1
672	2	1
673	2	0
674	2	1
675	1	0
676	2	1
677	2	1
678	2	1
679	2	1
680	2	1
681	1	1
682	5	0
683	7	1
684	2	0
685	1	0
686	2	1
687	2	1
688	2	0
689	2	1
690	2	0
691	2	1
692	2	0
693	1	1
694	2	1
695	2	0
696	2	0
697	2	0
698	2	1
699	5	0
700	2	1
701	2	1
702	1	0
703	2	1
704	2	0
705	2	0
706	2	0
707	2	1
708	2	1
709	1	1
710	1	0
711	2	1
712	2	0
713	2	0
714	1	1
715	2	1
716	2	1
717	1	0
718	2	0
719	1	1
720	2	1
721	2	0
722	2	1
723	2	0
724	2	1
725	7	0
726	2	1
727	2	1
728	2	0
729	2	1
730	2	0
731	2	1
732	2	1
733	2	0
734	2	1
735	2	0
736	2	1
737	2	0
738	1	0
739	3	1
740	1	0
741	2	0
742	2	1
743	2	1
744	3	1
745	2	0
746	2	1
747	2	1
748	2	0
749	4	1
750	1	1
751	2	0
752	2	1
753	2	1
754	2	1
755	2	0
756	2	1
757	2	1
758	2	0
759	1	1
760	2	1
761	2	1
762	2	1
763	1	0
764	2	0
765	2	1
766	2	1
767	2	0
768	2	1
769	2	0
770	2	0
771	2	1
772	1	1
773	2	1
774	2	1
775	2	0
776	2	1
777	2	0
778	2	1
779	2	0
780	2	1
